ID,Name,Metabolism,Environmental Information Processing,Organismal Systems,Human Diseases,Genetic Information Processing,Cellular Processes
map00650,Butanoate metabolism,1,0,0,0,0,0
map00660,C5-Branched dibasic acid metabolism,1,0,0,0,0,0
map01100,Metabolic pathways,0,0,0,0,0,0
map04024,cAMP signaling pathway,0,1,0,0,0,0
map00010,Glycolysis / Gluconeogenesis,1,0,0,0,0,0
map00430,Taurine and hypotaurine metabolism,1,0,0,0,0,0
map00440,Phosphonate and phosphinate metabolism,1,0,0,0,0,0
map00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,1,0,0,0,0,0
map00620,Pyruvate metabolism,1,0,0,0,0,0
map00630,Glyoxylate and dicarboxylate metabolism,1,0,0,0,0,0
map00680,Methane metabolism,1,0,0,0,0,0
map00720,Carbon fixation pathways in prokaryotes,1,0,0,0,0,0
map00908,Zeatin biosynthesis,1,0,0,0,0,0
map00920,Sulfur metabolism,1,0,0,0,0,0
map00997,Biosynthesis of various other secondary metabolites,1,0,0,0,0,0
map01120,Microbial metabolism in diverse environments,0,0,0,0,0,0
map01200,Carbon metabolism,0,0,0,0,0,0
map01220,Degradation of aromatic compounds,0,0,0,0,0,0
map04725,Cholinergic synapse,0,0,1,0,0,0
map04932,Non-alcoholic fatty liver disease,0,0,0,1,0,0
map04973,Carbohydrate digestion and absorption,0,0,1,0,0,0
map04974,Protein digestion and absorption,0,0,1,0,0,0
map00250,Alanine; aspartate and glutamate metabolism,1,0,0,0,0,0
map00270,Cysteine and methionine metabolism,1,0,0,0,0,0
map00450,Selenocompound metabolism,1,0,0,0,0,0
map00460,Cyanoamino acid metabolism,1,0,0,0,0,0
map00710,Carbon fixation in photosynthetic organisms,1,0,0,0,0,0
map00970,Aminoacyl-tRNA biosynthesis,0,0,0,0,1,0
map00997,Biosynthesis of various other secondary metabolites,1,0,0,0,0,0
map00999,Biosynthesis of various plant secondary metabolites,1,0,0,0,0,0
map01230,Biosynthesis of amino acids,0,0,0,0,0,0
map01502,Vancomycin resistance,0,0,0,1,0,0
map02010,ABC transporters,0,1,0,0,0,0
map04122,Sulfur relay system,0,0,0,0,1,0
map04978,Mineral absorption,0,0,1,0,0,0
map05230,Central carbon metabolism in cancer,0,0,0,1,0,0
map00260,Glycine; serine and threonine metabolism,1,0,0,0,0,0
map01240,Biosynthesis of cofactors,0,0,0,0,0,0
map00220,Arginine biosynthesis,1,0,0,0,0,0
map00261,Monobactam biosynthesis,1,0,0,0,0,0
map00330,Arginine and proline metabolism,1,0,0,0,0,0
map00331,Clavulanic acid biosynthesis,1,0,0,0,0,0
map00998,Biosynthesis of various antibiotics,1,0,0,0,0,0
map01064,Biosynthesis of alkaloids derived from ornithine; lysine and nicotinic acid,0,0,0,0,0,0
map04150,mTOR signaling pathway,0,1,0,0,0,0
map05014,Amyotrophic lateral sclerosis,0,0,0,1,0,0
map05022,Pathways of neurodegeneration - multiple diseases,0,0,0,1,0,0
map05142,Chagas disease,0,0,0,1,0,0
map05146,Amoebiasis,0,0,0,1,0,0
map00053,Ascorbate and aldarate metabolism,1,0,0,0,0,0
map00480,Glutathione metabolism,1,0,0,0,0,0
map02060,Phosphotransferase system (PTS),0,1,0,0,0,0
map04066,HIF-1 signaling pathway,0,1,0,0,0,0
map04977,Vitamin digestion and absorption,0,0,1,0,0,0
map00300,Lysine biosynthesis,1,0,0,0,0,0
map00340,Histidine metabolism,1,0,0,0,0,0
map00410,beta-Alanine metabolism,1,0,0,0,0,0
map00460,Cyanoamino acid metabolism,1,0,0,0,0,0
map00760,Nicotinate and nicotinamide metabolism,1,0,0,0,0,0
map00770,Pantothenate and CoA biosynthesis,1,0,0,0,0,0
map00999,Biosynthesis of various plant secondary metabolites,1,0,0,0,0,0
map01070,Biosynthesis of plant hormones,0,0,0,0,0,0
map01210,2-Oxocarboxylic acid metabolism,0,0,0,0,0,0
map02020,Two-component system,0,1,0,0,0,0
map02030,Bacterial chemotaxis,0,0,0,0,0,1
map04080,Neuroactive ligand-receptor interaction,0,1,0,0,0,0
map00552,Teichoic acid biosynthesis,1,0,0,0,0,0
map00564,Glycerophospholipid metabolism,1,0,0,0,0,0
map04976,Bile secretion,0,0,1,0,0,0
map05231,Choline metabolism in cancer,0,0,0,1,0,0
map04723,Retrograde endocannabinoid signaling,0,0,1,0,0,0
map02024,Quorum sensing,0,0,0,0,0,1
map04721,Synaptic vesicle cycle,0,0,1,0,0,0
map04727,GABAergic synapse,0,0,1,0,0,0
map04742,Taste transduction,0,0,1,0,0,0
map04915,Estrogen signaling pathway,0,0,1,0,0,0
map04929,GnRH secretion,0,0,1,0,0,0
