ID;Name;Butanoate metabolism;Metabolic pathways;cAMP signaling pathway;Glycolysis / Gluconeogenesis;Taurine and hypotaurine metabolism;Phosphonate and phosphinate metabolism;Glycosaminoglycan biosynthesis - heparan sulfate / heparin;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Sulfur metabolism;Carbon metabolism;Cholinergic synapse;Alcoholic liver disease;Carbohydrate digestion and absorption;Protein digestion and absorption;Alanine| aspartate and glutamate metabolism;Cysteine and methionine metabolism;Selenocompound metabolism;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of amino acids;ABC transporters;Sulfur relay system;Mineral absorption;Central carbon metabolism in cancer;Glycine| serine and threonine metabolism;Biosynthesis of cofactors;Arginine biosynthesis;Arginine and proline metabolism;mTOR signaling pathway;Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases;Chagas disease;Amoebiasis;Ascorbate and aldarate metabolism;Glutathione metabolism;HIF-1 signaling pathway;Vitamin digestion and absorption;Histidine metabolism;beta-Alanine metabolism;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;2-Oxocarboxylic acid metabolism;Neuroactive ligand-receptor interaction;Glycerophospholipid metabolism;Bile secretion;Choline metabolism in cancer;Retrograde endocannabinoid signaling;Synaptic vesicle cycle;GABAergic synapse;Taste transduction;Estrogen signaling pathway;GnRH secretion;Morphine addiction;Nicotine addiction;Neomycin| kanamycin and gentamicin biosynthesis;Porphyrin metabolism;Nitrogen metabolism;FoxO signaling pathway;Phospholipase D signaling pathway;Ferroptosis;Gap junction;Circadian entrainment;Long-term potentiation;Glutamatergic synapse;Long-term depression;Proximal tubule bicarbonate reclamation;Huntington disease;Spinocerebellar ataxia;Cocaine addiction;Amphetamine addiction;Alcoholism;Purine metabolism;Pyrimidine metabolism;Vitamin B6 metabolism;Nucleotide metabolism;Thyroid hormone synthesis;Chemical carcinogenesis - reactive oxygen species;Diabetic cardiomyopathy;Ether lipid metabolism;Primary bile acid biosynthesis;Lysine degradation;Thiamine metabolism;Valine| leucine and isoleucine degradation;Valine| leucine and isoleucine biosynthesis;Shigellosis;Fructose and mannose metabolism;Propanoate metabolism;Glucagon signaling pathway;Biotin metabolism;Antifolate resistance;Galactose metabolism;Inositol phosphate metabolism;Biosynthesis of nucleotide sugars;Phosphatidylinositol signaling system;Regulation of actin cytoskeleton;Insulin secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Sphingolipid metabolism;Sphingolipid signaling pathway
cpd:C02630;2-Hydroxyglutarate;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C01089;(R)-3-Hydroxybutanoate;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00033;Acetate;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00041;L-Alanine;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C02291;L-Cystathionine;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00062;L-Arginine;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00072;Ascorbate;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00049;L-Aspartate;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00719;Betaine;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00114;Choline;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00300;Creatine;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00189;Ethanolamine;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00334;4-Aminobutanoate;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00025;L-Glutamate;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;1;1;1;0;0;1;0;1;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00064;L-Glutamine;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00051;Glutathione;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00670;sn-Glycero-3-phosphocholine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00037;Glycine;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00519;Hypotaurine;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cpd:C00407;L-Isoleucine;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
